AdId,Age,Gender,Income,Homecountry,Rating,pred_rating,pred_confidence
A11_14,22,M,2,United States of America,0.0,0,0.63701534
A15_02,35,F,1,United Kingdom,1.0,1,0.84584355
A20_04,25,M,1,United States of America,0.0,0,0.5724211
A01_15,21,F,0,Canada,1.0,0,0.6175682
A12_03,26,F,1,United States of America,0.0,0,0.84734136
A12_02,24,M,1,United States of America,1.0,1,0.58845073
A14_05,22,M,0,India,1.0,1,0.9904755
A10_08,21,F,1,United Kingdom,1.0,1,0.6269734
A08_09,32,F,1,United States of America,0.0,0,0.8258754
A19_04,22,M,0,India,1.0,1,0.9800378
A20_07,32,F,1,United States of America,0.0,0,0.9308426
A05_01,31,F,0,United Kingdom,0.0,0,0.5724211
A13_03,25,M,0,United States of America,1.0,0,0.5192623
A20_15,20,F,3,United States of America,1.0,1,0.73267144
A04_01,19,F,3,United States of America,0.0,0,0.8668383
A12_15,23,M,2,United States of America,0.0,0,0.78734505
A01_14,48,M,1,Canada,1.0,1,0.995402
A18_15,61,F,1,Canada,0.0,0,0.6947847
A19_11,48,M,1,Canada,1.0,1,0.9998802
A11_05,21,F,0,Canada,0.0,0,0.7395514
A13_02,28,M,2,United States of America,1.0,1,0.5281466
A19_01,19,M,3,Canada,0.0,1,0.5931891
A16_08,18,F,1,United States of America,0.0,0,0.87991434
A12_13,52,F,0,United Kingdom,0.0,1,0.93482697
A14_15,28,M,2,United States of America,1.0,1,0.7506164
A16_08,36,M,1,India,1.0,1,0.98624474
A19_07,20,M,0,Saudi Arabia,0.0,0,0.89024293
A05_08,23,M,0,Singapore,1.0,0,0.6292225
A07_14,41,F,1,United States of America,1.0,1,0.995061
A07_01,24,F,0,Singapore,0.0,0,0.8640066
A10_14,18,F,0,United States of America,1.0,1,0.5899546
A18_01,31,M,1,United States of America,0.0,0,0.7786253
A06_05,39,M,2,Canada,1.0,0,0.5267795
A02_08,31,F,1,Canada,1.0,1,0.77112937
A04_14,22,M,2,United States of America,1.0,0,0.67160314
A10_09,23,M,2,Canada,1.0,0,0.5577973
A14_04,26,F,1,Slovenia,0.0,0,0.82184523
A05_01,32,F,1,United Kingdom,0.0,0,0.8707467
A20_08,18,M,2,Slovenia,0.0,0,0.60951406
A08_08,19,M,3,Canada,1.0,1,0.7616658
A14_12,52,F,0,United Kingdom,1.0,1,0.9578848
A16_08,23,M,2,United States of America,0.0,0,0.7151565
A08_04,33,M,2,United States of America,0.0,0,0.9834906
A14_08,19,F,2,Canada,1.0,1,0.98568976
A15_15,41,F,1,United States of America,0.0,1,0.7216741
A18_01,19,F,2,Canada,1.0,1,0.928258
A20_09,28,F,2,United States of America,0.0,0,0.64187956
A10_09,64,M,1,United States of America,1.0,0,0.6336465
A18_10,26,F,1,United States of America,0.0,0,0.5724211
A13_07,21,F,0,Canada,0.0,0,0.6864282
